Example of what Bundles the MCU sends to Radio APP.
01-01 14:02:30.665 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:31.105 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:31.629 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:32.146 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:32.667 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:33.106 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:33.627 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:34.167 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:34.607 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:35.128 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:35.646 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:36.165 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:36.606 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:37.145 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:37.665 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:38.106 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:38.626 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:39.074 D/radioDataBundle( 2359): Bundle{ type => rt; value => [B@ac7fb7b; }Bundle
01-01 14:02:39.147 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:39.690 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:40.128 D/radioDataBundle( 2359): Bundle{ type => pi; value => 3; }Bundle
01-01 14:02:40.359 D/radioDataBundle( 2359): Bundle{ type => seek_start; }Bundle
01-01 14:02:40.361 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94050000; }Bundle
01-01 14:02:40.380 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:40.467 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94100000; }Bundle
01-01 14:02:40.468 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:40.587 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94150000; }Bundle
01-01 14:02:40.589 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:40.707 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94200000; }Bundle
01-01 14:02:40.708 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:40.827 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94250000; }Bundle
01-01 14:02:40.829 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:40.951 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94300000; }Bundle
01-01 14:02:40.953 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:41.068 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94350000; }Bundle
01-01 14:02:41.072 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:41.189 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94400000; }Bundle
01-01 14:02:41.193 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:41.309 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94450000; }Bundle
01-01 14:02:41.314 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:41.429 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94500000; }Bundle
01-01 14:02:41.434 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:41.549 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94550000; }Bundle
01-01 14:02:41.554 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:41.669 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94600000; }Bundle
01-01 14:02:41.674 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:41.789 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94650000; }Bundle
01-01 14:02:41.793 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:41.909 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94700000; }Bundle
01-01 14:02:41.915 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:42.029 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94750000; }Bundle
01-01 14:02:42.033 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:42.149 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94800000; }Bundle
01-01 14:02:42.153 D/radioDataBundle( 2359): Bundle{ type => stereo; value => 0; }Bundle
01-01 14:02:42.269 D/radioDataBundle( 2359): Bundle{ type => freq; value => 94850000; }Bundle
